Ticker,Name,MatchesUnique,MatchesTotal,Keywords
EID,EID PARRY (INDIA) LTD,0,0
LJ,LINDETEVES-JACOBER LTD,1,1,electric
KBC,KEYBRIDGE CAPITAL LTD,0,0
2723,GOURMET MASTER CO LTD,0,0
2483,HONYAKU CENTER INC,0,0
056810,WITHUS,0,0
POAHY,PORSCHE AUTOMOBIL HOLDING SE,0,0
NH8,NIHON TRIM CO LTD,0,0
SMIL,SUMERU INDUSTRIES LTD,0,0
D7N,CHINA MOLYBDENUM CO LTD,0,0
RIASB,RIAS A/S,0,0
VPH,VIROPHARMA INC,0,0
HWKDF,HAWKEYE GOLD & DIAMOND INC,1,1,gold
SH0,SHIONOGI & CO LTD,0,0
SGMD,SUGARMADE INC,0,0
RU4,RUBICON LTD,0,0
L,LOBLAW COMPANIES LTD,0,0
RAKCC,RAS AL KHAIMAH CEMENT CO,0,0
KRSL,KREISLER MANUFACTURING CORP,0,0
KWBT,KIWA BIO TECH PRODS GROUP CO,0,0
NSC,NISSAN CHEMICAL INDUSTRIES,0,0
SVO,SERVICED OFFICE GROUP PLC,0,0
023770,YNK KOREA INC,0,0
SBAY,SUBAYE INC,0,0
ALME,ALAMO ENERGY CORP,0,0
BLLI,BELL INDUSTRIES INC,0,0
CBJ,CUMBERLAND PHARMACEUTICALS,0,0
5019,IDEMITSU KOSAN CO LTD,0,0
WBK,WESTPAC BANKING,0,0
4462,ISHIHARA CHEMICAL CO LTD,0,0
F1YN,FORTRESS MINERALS CORP,8,8,zinc,platinum,lead,molybdenum,gold,silver,nickel,copper
TVOR,THAI VEGETABLE OIL PCL,1,1,oil
WSEH,WELLSTAR ENERGY CORP,1,1,oil
ZHCB,ZHULIAN CORP BERHAD,0,0
002011,ZHEJIANG DUN'AN ART,0,0
GDRRF,GOLDRUSH RESOURCES LTD,0,0
AU7A,AU OPTRONICS CORP,0,0
6644,OSAKI ELECTRIC CO LTD,2,2,electric,electricity
SIL,SPROTT RESOURCE LENDING CORP,4,4,palladium,platinum,silver,gold
